trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,2,-153.41849043024865,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 3}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,-5,-115.79568041460043,"{0: 17, 1: 7, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,18,-22.777304547668027,"{0: 7, 1: 3, 2: 2, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,-1,-18.297461453781082,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,-70,-355.7362163964951,"{0: 59, 1: 11, 2: 14, 3: 0, 4: 6}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,-74,-373.88830277965553,"{0: 71, 1: 10, 2: 16, 3: 0, 4: 7}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,-100,-243.00395511753408,"{0: 95, 1: 12, 2: 19, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,-100,-539.497139712332,"{0: 75, 1: 15, 2: 18, 3: 4, 4: 8}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,14,-6.169718351576291,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,-33,-146.61002340131304,"{0: 39, 1: 5, 2: 5, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,-32,-196.59970121187206,"{0: 43, 1: 2, 2: 7, 3: 1, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-40.70421184693202,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,-36,-185.78671758325808,"{0: 47, 1: 1, 2: 2, 3: 0, 4: 6}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",35,4,-93.50908036243952,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,9,-35.001790123985714,"{0: 8, 1: 0, 2: 1, 3: 2, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,-2,-112.5365370700329,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,13,-19.491636657515905,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,9,6.861038492883871,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,-1,-45.55845315360081,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 2}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,11,17.359316343432052,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,0,-76.81148178083289,"{0: 25, 1: 0, 2: 2, 3: 1, 4: 2}",1
2,True,"{'a': 0, 'e': 0}",20,11,18.022650506550914,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,-26,41.67195774287574,"{0: 44, 1: 0, 2: 1, 3: 1, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,-3,41.703215446619694,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,8,-19.68959692332069,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",30,21,10.246241852342985,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",35,28,13.768759161842329,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,13,11.583802142060296,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,4,37.66301891919762,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,11,15.881171220341106,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
