trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,7,-76.02171687034111,"{0: 7, 1: 0, 2: 5, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.25}",20,6,-10.946631284081796,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.1111111111111111}",30,17,13.50894663439759,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.0625}",30,17,18.179549312399224,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.04}",20,11,17.79207224713191,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.027777777777777776}",20,13,12.156320594628266,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.02040816326530612}",20,10,16.04761628237267,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.015625}",20,10,-19.198548968399706,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.012345679012345678}",20,8,20.207749371494433,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.01}",20,12,16.13804698477732,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.008264462809917356}",35,15,44.36172057222628,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.006944444444444444}",25,5,41.63031675915545,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.005917159763313609}",25,15,20.67767964024598,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.00510204081632653}",20,15,11.51386054505655,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.0044444444444444444}",30,12,40.432481922878836,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.00390625}",20,10,19.151617845244566,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.0034602076124567475}",25,11,26.19186639696818,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.0030864197530864196}",20,10,23.33613516345508,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.002770083102493075}",30,8,40.92481655727764,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.0025}",20,5,17.916194878588563,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,16,26.166142498228304,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,10,18.47946495241457,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,10,18.994058470799313,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,9,23.692985330825028,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,12,17.448146864505386,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,11,27.307047175959053,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,18,17.508052413465116,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,20,8.855197246477687,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,6,25.302401531799372,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,9,18.31259839482842,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
